step,time,dt,kinetic_energy,strain_energy,dissipation_rate,integrated_dissipation,total_energy
500,0.4990000000000004,0.001,0.01677924843547434,0.004657938922195523,0.013390331053746608,0.0060632697849549045,0.027500457142624765
520,0.5190000000000003,0.001,0.01616852899286807,0.005484663768279832,0.012331663498535822,0.006319179858358343,0.027972372619506247
540,0.5390000000000004,0.001,0.015600823038381858,0.00650624612372533,0.011559207199823583,0.00655756813238878,0.02866463729449597
560,0.5590000000000004,0.001,0.015088726264159583,0.007480395692484054,0.010761747280492532,0.006780527653699407,0.029349649610343045
580,0.5790000000000004,0.001,0.014656396906601078,0.008259250156767556,0.009817576013111666,0.0069860752886777115,0.029901722352046346
600,0.5990000000000004,0.001,0.014347576058816645,0.008584630954133853,0.008807206237562752,0.007171961238825196,0.030104168251775695
620,0.6190000000000004,0.001,0.014188621260831,0.00899637164312947,0.007991398890850382,0.007339504951054978,0.03052449785501545
640,0.6390000000000005,0.001,0.014195863170074095,0.008898123060532257,0.0074198501083335595,0.007492905987364667,0.030586892217971017
660,0.6590000000000005,0.001,0.014346261169750437,0.008406452905617453,0.006973527733190811,0.007636382933774703,0.030389097009142593
680,0.6790000000000005,0.001,0.014637568946777273,0.007864690319490731,0.0068439489230837066,0.007773893335800434,0.030276152602068437
700,0.6990000000000005,0.001,0.0150327494576114,0.007184159562113464,0.006899541679782441,0.007911399228650418,0.03012830824837528
720,0.7190000000000005,0.001,0.015462948868773876,0.006589692601914679,0.006893160631916544,0.008049722068286247,0.030102363538974802
740,0.7390000000000005,0.001,0.015866715626986643,0.005880017706181028,0.006778335495170326,0.008186364240877412,0.02993309757404508
760,0.7590000000000006,0.001,0.016214087613103584,0.005274370295880386,0.006753978520729893,0.008321459947776593,0.029809917856760564
780,0.7790000000000006,0.001,0.0164712367728371,0.004168336741451646,0.006831293462533151,0.008457248964758069,0.029096822479046814
800,0.7990000000000006,0.001,0.016614390370329444,0.0035905972477277047,0.006932627773772577,0.008594998505691127,0.028799986123748275
820,0.8190000000000006,0.001,0.01659718803639458,0.003077013526952277,0.0069083261696104206,0.008733678187741959,0.028407879751088817
840,0.8390000000000006,0.001,0.01641046688085184,0.0030743918644211975,0.00668313406152773,0.008869831442456623,0.02835469018772966
860,0.8590000000000007,0.001,0.01606648453799131,0.0034717416881780393,0.006274686298553059,0.008999427004604089,0.028537653230773438
880,0.8790000000000007,0.001,0.015604050629572487,0.0037219208431512507,0.005828281937965892,0.009120150449009023,0.028446121921732764
900,0.8990000000000007,0.001,0.015059960046934027,0.004114800243689499,0.0054914413159499655,0.009232892580989333,0.028407652871612857
920,0.9190000000000007,0.001,0.014473639655386982,0.004649585613409346,0.0053259905641650585,0.009340751901315742,0.02846397717011207
940,0.9390000000000007,0.001,0.013873406518910326,0.005547657627349149,0.005228027713622937,0.009446261796366623,0.028867325942626098
960,0.9590000000000007,0.001,0.013294291042579797,0.0062020693733135625,0.005094461753127728,0.009549489515449368,0.029045849931342727
980,0.9790000000000008,0.001,0.012785162760270873,0.006491963600933027,0.0050004532302484715,0.009650228857416744,0.028927355218620644
1000,0.9990000000000008,0.001,0.012381667703551086,0.006878093490005726,0.005055135089262558,0.0097506224280768,0.029010383621633613
